model_name,mmlu_tiny,gsm8k,humanevalsynthesize-js,mbpp,arc_challenge,winogrande
garage-bAInd/Platypus2-7B,0.498219627,0.025018954,0.146341463,0.19,0.551194539,0.740331492
lmsys/vicuna-7b-v1.5,0.497792337,0.191053829,0.195121951,0.06,0.537542662,0.705603788
meta-math/MetaMath-7B-V1.0,0.4158,0.5906,0.012195122,0.014,0.4735,0.7024
meta-llama/Llama-2-7b-chat-hf,0.472795898,0.230477635,0.134146341,0.17,0.540955631,0.712707182
PygmalionAI/pygmalion-2-7b,0.4838,0.172858226,0.152439024,0.192,0.540955631,0.7537
teknium/OpenHermes-7B,0.478350662,0.092494314,0.195121951,0.228,0.563993174,0.73875296
neuralmagic/Llama-2-7b-evolcodealpaca,0.417,0.0902,0.317073171,0.256,0.4957,0.7245
migtissera/Synthia-7B-v1.2,0.481840194,0.240333586,0.134146341,0.178,0.550341297,0.737174428
stanford-oval/Llama-2-7b-WikiChat-fused,0.391326022,0,0.042682927,0.138,0.509385666,0.685872139
kfkas/Llama-2-ko-7b-Chat,0.304158952,0.031842305,0.018292683,0.006,0.401023891,0.65035517
cognitivecomputations/dolphin-llama2-7b,0.465247116,0.106899166,0.024390244,0.008,0.42662116,0.653512234
Severus27/BeingWell_llama2_7b,0.461900014,0.222896133,0.134146341,0.134,0.549488055,0.72296764
